Category,Word/Phrase,Meaning (Indonesia),Example Sentence,Notes
Vocabulary,Abundant,Berlimpah,"The country has abundant natural resources.","Formal word"
Vocabulary,Accomplish,Mencapai/Menyelesaikan,"She accomplished all her goals this year.","Verb"
Vocabulary,Accurate,Akurat/Tepat,"The weather forecast was accurate today.","Adjective"
Vocabulary,Acquire,Mendapatkan/Memperoleh,"He acquired new skills through online courses.","Formal"
Vocabulary,Adequate,Cukup/Memadai,"The food supply is adequate for the whole team.",""
Vocabulary,Ambiguous,Ambigu/Tidak jelas,"The instructions were ambiguous and confusing.","Adjective"
Vocabulary,Analyze,Menganalisis,"We need to analyze the data carefully.","Verb"
Vocabulary,Apparent,Jelas/Nyata,"It was apparent that she was upset.","Adjective"
Vocabulary,Approach,Pendekatan/Mendekati,"We need a new approach to solve this problem.",""
Vocabulary,Appropriate,Tepat/Sesuai,"Make sure your clothes are appropriate for the occasion.",""
Vocabulary,Assess,Menilai/Mengevaluasi,"The teacher will assess your progress next week.","Verb"
Vocabulary,Assume,Mengasumsikan,"Don't assume things without evidence.","Verb"
Vocabulary,Beneficial,Bermanfaat,"Exercise is beneficial for your health.","Adjective"
Vocabulary,Capable,Mampu/Kompeten,"She is capable of handling the project alone.",""
Vocabulary,Challenge,Tantangan,"Learning a new language is always a challenge.",""
Vocabulary,Comprehend,Memahami,"It's hard to comprehend why he left so suddenly.","Formal for 'understand'"
Vocabulary,Conclude,Menyimpulkan,"We can conclude that the experiment was successful.","Verb"
Vocabulary,Consequence,Konsekuensi/Akibat,"Think about the consequences before making a decision.",""
Vocabulary,Consider,Mempertimbangkan,"Please consider all options before deciding.","Verb"
Vocabulary,Consistent,Konsisten,"You need to be consistent in your practice.","Adjective"
Vocabulary,Construct,Membangun/Menyusun,"They will construct a new bridge next year.","Verb"
Vocabulary,Contribute,Berkontribusi,"Everyone should contribute to the project.","Verb"
Vocabulary,Crucial,Krusial/Sangat penting,"It is crucial to submit the form on time.","Adjective"
Vocabulary,Demonstrate,Mendemonstrasikan/Membuktikan,"She demonstrated her skills during the interview.","Verb"
Vocabulary,Determine,Menentukan,"We need to determine the cause of the problem.","Verb"
Vocabulary,Diverse,Beragam,"Our team comes from diverse backgrounds.","Adjective"
Vocabulary,Effective,Efektif,"This method is very effective for learning English.","Adjective"
Vocabulary,Efficient,Efisien,"She is very efficient at managing her time.","Adjective"
Vocabulary,Emphasize,Menekankan,"The teacher emphasized the importance of grammar.","Verb"
Vocabulary,Enhance,Meningkatkan,"Reading can enhance your vocabulary significantly.","Verb"
Vocabulary,Establish,Mendirikan/Menetapkan,"The company was established in 1990.","Verb"
Vocabulary,Evaluate,Mengevaluasi,"We need to evaluate the results carefully.","Verb"
Vocabulary,Evident,Jelas/Terbukti,"It was evident that she had studied hard.","Adjective"
Vocabulary,Examine,Memeriksa/Mengkaji,"The doctor will examine the patient this afternoon.","Verb"
Vocabulary,Expand,Memperluas,"We plan to expand our business next year.","Verb"
Vocabulary,Facilitate,Memfasilitasi,"Technology can facilitate learning in many ways.","Verb"
Vocabulary,Fundamental,Fundamental/Mendasar,"Grammar is fundamental to learning any language.","Adjective"
