Category,Word/Phrase,Meaning_Indonesia,Example_Sentence,Level
Basic Vocabulary,hello,halo/hai,"Hello! How are you?",Beginner
Basic Vocabulary,goodbye,sampai jumpa,"Goodbye! See you tomorrow.",Beginner
Basic Vocabulary,please,tolong/silakan,"Please help me with this.",Beginner
Basic Vocabulary,thank you,terima kasih,"Thank you for your help.",Beginner
Basic Vocabulary,you're welcome,sama-sama,"You're welcome! Anytime.",Beginner
Basic Vocabulary,sorry,maaf,"Sorry, I made a mistake.",Beginner
Basic Vocabulary,excuse me,permisi/maaf,"Excuse me, where is the bathroom?",Beginner
Basic Vocabulary,yes,ya,"Yes, I understand.",Beginner
Basic Vocabulary,no,tidak,"No, I don't agree.",Beginner
Basic Vocabulary,maybe,mungkin,"Maybe we can meet tomorrow.",Beginner
Basic Vocabulary,I,saya/aku,"I am a student.",Beginner
Basic Vocabulary,you,kamu/anda,"You are very kind.",Beginner
Basic Vocabulary,he,dia (laki-laki),"He is my brother.",Beginner
Basic Vocabulary,she,dia (perempuan),"She is my sister.",Beginner
Basic Vocabulary,we,kami/kita,"We are friends.",Beginner
Basic Vocabulary,they,mereka,"They are from Jakarta.",Beginner
Basic Vocabulary,this,ini,"This is my book.",Beginner
Basic Vocabulary,that,itu,"That is beautiful.",Beginner
Basic Vocabulary,here,di sini,"Come here, please.",Beginner
Basic Vocabulary,there,di sana,"The store is over there.",Beginner
Basic Vocabulary,good,baik/bagus,"That's a good idea.",Beginner
Basic Vocabulary,bad,buruk/jelek,"This is a bad situation.",Beginner
Basic Vocabulary,big,besar,"That is a big house.",Beginner
Basic Vocabulary,small,kecil,"I have a small cat.",Beginner
Basic Vocabulary,new,baru,"I got a new phone.",Beginner
Basic Vocabulary,old,tua/lama,"This is an old building.",Beginner
Basic Vocabulary,hot,panas,"The coffee is too hot.",Beginner
Basic Vocabulary,cold,dingin,"It's cold outside today.",Beginner
Basic Vocabulary,fast,cepat,"She runs very fast.",Beginner
Basic Vocabulary,slow,lambat,"Please speak slowly.",Beginner
Basic Vocabulary,easy,mudah,"This question is easy.",Beginner
Basic Vocabulary,difficult/hard,sulit/susah,"The exam was very difficult.",Beginner
Basic Vocabulary,happy,senang/bahagia,"I am so happy today!",Beginner
Basic Vocabulary,sad,sedih,"She looked sad after the news.",Beginner
Basic Vocabulary,hungry,lapar,"I am hungry. Let's eat!",Beginner
Basic Vocabulary,thirsty,haus,"I'm thirsty. Can I have some water?",Beginner
Basic Vocabulary,tired,lelah,"I'm tired after work.",Beginner
Basic Vocabulary,busy,sibuk,"Sorry, I'm very busy today.",Beginner
Basic Vocabulary,free,bebas/tidak sibuk,"Are you free this afternoon?",Beginner
Basic Vocabulary,right,benar/kanan,"That's right! / Turn right here.",Beginner
Basic Vocabulary,wrong,salah,"Sorry, I was wrong.",Beginner
Basic Vocabulary,eat,makan,"I eat breakfast every morning.",Beginner
Basic Vocabulary,drink,minum,"She drinks coffee every morning.",Beginner
Basic Vocabulary,sleep,tidur,"I sleep 8 hours a night.",Beginner
Basic Vocabulary,walk,berjalan,"I walk to school every day.",Beginner
Basic Vocabulary,run,berlari,"He runs in the park.",Beginner
Basic Vocabulary,sit,duduk,"Please sit down.",Beginner
Basic Vocabulary,stand,berdiri,"Please stand up.",Beginner
Basic Vocabulary,go,pergi,"I go to school by bus.",Beginner
Basic Vocabulary,come,datang,"Please come here.",Beginner
Basic Vocabulary,give,memberi,"Can you give me a pen?",Beginner
Basic Vocabulary,take,mengambil,"Please take a seat.",Beginner
Basic Vocabulary,buy,membeli,"I want to buy a new bag.",Beginner
Basic Vocabulary,sell,menjual,"They sell fresh fruit here.",Beginner
Basic Vocabulary,open,membuka,"Can you open the window?",Beginner
Basic Vocabulary,close/shut,menutup,"Please close the door.",Beginner
Basic Vocabulary,read,membaca,"I love to read books.",Beginner
Basic Vocabulary,write,menulis,"She writes in her diary every night.",Beginner
Basic Vocabulary,speak/talk,berbicara,"Can you speak English?",Beginner
Basic Vocabulary,listen,mendengarkan,"Please listen carefully.",Beginner
Basic Vocabulary,see/look/watch,melihat,"Look at that beautiful sunset!",Beginner
Basic Vocabulary,hear,mendengar,"Did you hear that noise?",Beginner
Basic Vocabulary,like,suka,"I like chocolate ice cream.",Beginner
